SubjId,Day,ActType,frequency,DietType,frequency,HoursSleep,slpType,Morningness,Eveningness,Lark,Owl
044,10.8.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[1, 0, 0, 0, 0, 0, 1, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]",7.521111,1,1,0,1,0
044,10.9.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 0, 0, 0, 2, 1, 3, 2]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 3, 2, 3, 1, 0, 0, 1, 0, 2, 0]",7.71,1,1,0,1,0
044,10.10.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 0, 2, 0, 1, 2, 2, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 3, 2, 1, 2, 0, 1, 1, 0, 1, 0]",10.491111,4,0,1,0,1
044,10.11.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 1, 2, 0, 5, 2, 2, 2]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 3, 2, 1, 1, 0, 1, 1, 2, 1, 0]",8.292222,2,1,0,1,0
044,10.12.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 4, 2, 0, 1, 2, 5, 2]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 2, 1, 1, 1, 0, 1, 1, 2, 2, 0]",7.876667,1,1,0,1,0
044,10.13.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 4, 2, 0, 2, 2, 3, 2]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 2, 1, 1, 1, 0, 2, 1, 2, 2, 0]",7.241111,1,1,0,1,0
044,10.14.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[2, 4, 2, 0, 2, 1, 3, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[1, 4, 2, 1, 1, 0, 2, 1, 2, 1, 0]",7.951111,1,1,0,1,0
045,11.20.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[0, 1, 0, 0, 1, 1, 0, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1]",7.136667,1,1,0,1,0
045,11.22.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[0, 1, 0, 0, 2, 1, 1, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[0, 1, 1, 0, 1, 1, 0, 1, 4, 1, 1]",6.938889,0,1,1,0,0
045,11.23.2014,"['transportation1', 'transportation3', 'transportation2', 'social', 'entertainmentRelax', 'sport', 'others', 'workStudy']","[0, 1, 2, 0, 2, 1, 1, 1]","['caffeineD', 'dairyP', 'grainP', 'snacks', 'alcoholD', 'seafood', 'fruitP', 'meatP', 'compositeP', 'vegetables', 'starchyP']","[0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1]",8.323333,2,1,0,1,0
