Timestamp,ID,Date,Day,GoToSlp,Getup,Duration,Com,Quality,Reason,BreakfastTime,Breakfast,MorningSnack,LunchTime,Lunch,AfternoonSnack,DinnerTime,Dinner,EveningSnack,MorningAct,AfternoonAct,EveningAct
10/3/16 8:29,11,10/3/16,Thursday,23:00:00,7:00:00,8:00:00,No,4,,7:30:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, etc.), Fruit products (including juice), Dairy products (milk, cheese, butter, etc.), Meat products, Caffeine drink (including coffee, tea, cola)","Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",12:00:00,"Sandwich (if you eat this composite dish also choose the components inside), Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Meat products, Caffeine drink (including coffee, tea, cola)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",18:00:00,"Grain products (rice, noodles, bread, etc.), Fruit products_(including juice)",,"Walk (as a transportation or shopping), Bike (as a transportation, Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)","Walk (as a transportation or shopping), Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.), Sport (workout, cycling, swimming, etc.)"
10/3/16 8:34,29,10/3/16,Thursday,23:00:00,7:00:00,8:00:00,No,4,,7:45:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.), Meat products, Caffeine drink (including coffee, tea, cola)","Dairy products (milk, cheese, butter, etc.)",16:00:00,"Grain products (rice, noodles, bread, etc.), Meat products, Caffeine drink (including coffee, tea, cola)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",19:00:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans), Meat products","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)","Bike (as a transportation, Work/study, Social activities (party, communication with people more than 20 mins)","Walk (as a transportation or shopping), Work/study, Social activities (party, communication with people more than 20 mins)","Bike (as a transportation, Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 9:05,25,10/3/16,Thursday,22:30:00,6:40:00,8:10:00,Yes,4,,6:50:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Fruit products (including juice), Caffeine drink (including coffee, tea, cola)",12:00:00,"Grain products (rice, noodles, bread, etc.), Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Vegetables (including salad, beans), Caffeine drink (including coffee, tea, cola)",18:00:00,"Starchy products (potato, chip, fries), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.), Meat products","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)","Drive or take bus/car/train, Work/study","Walk (as a transportation or shopping), Drive or take bus/car/train, Work/study","Walk (as a transportation or shopping), Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 9:20,4,10/3/16,Thursday,22:00:00,6:00:00,8:00:00,No,3,,8:00:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.)",,12:30:00,"Vegetables (including salad, beans)",,18:30:00,Meat products,,Bike (as a transportation,Work/study,"Work/study, Sport (workout, cycling, swimming, etc.)"
10/3/16 9:38,1,10/3/16,Thursday,1:30:00,9:40:00,8:10:00,No,3,,9:00:00,"Vegetables (including salad, beans)","Caffeine drink (including coffee, tea, cola)",12:10:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans)",,18:30:00,"Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)","Vegetables (including salad, beans)","Drive or take bus/car/train, Work/study","Drive or take bus/car/train, Work/study","Entertainment/relax (rest, watch TV or movies, play games, etc.), Social activities (party, communication with people more than 20 mins)"
10/3/16 9:43,17,10/3/16,Thursday,23:30:00,6:00:00,6:30:00,Yes,4,,6:10:00,"Grain products (rice, noodles, bread, etc.), Fruit products (including juice), Dairy products (milk, cheese, butter, etc.)","Caffeine drink (including coffee, tea, cola)",13:00:00,"Grain products (rice, noodles, bread, etc.), Dairy products (milk, cheese, butter, etc.)",Fruit products_(including juice),20:00:00,"Grain products (rice, noodles, bread, etc.), Starchy products (potato, chip, fries), Vegetables (including salad, beans), Meat products, Caffeine drink (including coffee, tea, cola)",,"Drive or take bus/car/train, Work/study",Work/study,"Walk (as a transportation or shopping), Drive or take bus/car/train, Social activities (party, communication with people more than 20 mins)"
10/3/16 9:52,12,10/3/16,Thursday,0:10:00,8:55:00,8:45:00,No,4,,8:50:00,"Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",,11:50:00,Meat products,"Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",19:00:00,"Grain products (rice, noodles, bread, etc.), Starchy products (potato, chip, fries), Meat products",,Work/study,Work/study,"Work/study, Entertainment/relax (rest, watch TV or movies, play games, etc.)"
10/3/16 9:55,13,10/3/16,Thursday,23:05:00,7:00:00,7:55:00,No,3,,7:30:00,Fruit products (including juice),"Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)",12:30:00,Sandwich (if you eat this composite dish also choose the components inside),Fruit products_(including juice),21:00:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans), Dairy products (milk, cheese, butter, etc.)",,Bike (as a transportation),Work/study,"Bike (as a transportation), Sport (workout, cycling, swimming, etc.)"
10/3/16 9:58,14,10/3/16,Thursday,0:15:00,8:30:00,8:15:00,No,3,thoughts,8:30:00,"Fruit products (including juice), Caffeine drink (including coffee, tea, cola)","Caffeine drink (including coffee, tea, cola)",13:15:00,"Grain products (rice, noodles, bread, etc.), Snacks (cookie, nuts, cakes, chocolate, sugar, etc.)","Snacks (cookie, nuts, cakes, chocolate, sugar, etc.), Caffeine drink (including coffee, tea, cola)",22:00:00,"Grain products (rice, noodles, bread, etc.), Vegetables (including salad, beans), Egg prodcuts",,"Bike (as a transportation), Work/study","Bike (as a transportation), Work/study",Work/study
10/3/16 9:58,19,10/3/16,Thursday,23:00:00,8:30:00,9:30:00,Yes,4,,9:00:00,"Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)","Sandwich (if you eat this composite dish also choose the components inside), Dairy products (milk, cheese, butter, etc.), Caffeine drink (including coffee, tea, cola)",12:30:00,"Sandwich (if you eat this composite dish also choose the components inside), Fruit products_(including juice), Caffeine drink (including coffee, tea, cola)",Fruit products_(including juice),18:00:00,"Starchy products (potato, chip, fries), Meat products",,"Drive or take bus/car/train, Work/study","Drive or take bus/car/train, Entertainment/relax (rest, watch TV or movies, play games, etc.)","Entertainment/relax (rest, watch TV or movies, play games, etc.)"
